id,attr_time,attr_lat,attr_lng
1,1435993168000,49.4499012,8.89831716
2,1435993173000,49.44990109,8.89831674
3,1435993186000,49.4499164,8.89827452
4,1435993193000,49.44995707,8.8981353
5,1435993203000,49.4500136,8.8981045
6,1435993214000,49.45010651,8.89817259
7,1435993225000,49.45012384,8.89832246
8,1435993235000,49.45004235,8.89849948
9,1435993247000,49.45004304,8.89873035
10,1435993255000,49.45000953,8.89880281
11,1435993268000,49.45003842,8.89894256
12,1435993275000,49.45011015,8.89896428
13,1435993295000,49.45030851,8.89910102
14,1435993308000,49.45031877,8.89936701
15,1435993317000,49.45056561,8.89943426
16,1435993327000,49.4506299,8.89943444
17,1435993347000,49.45084145,8.89953725
18,1435993360000,49.4509717,8.89955514
19,1435993370000,49.45102904,8.89970409
20,1435993397000,49.4512324,8.89999949
21,1435993418000,49.45135421,8.90004215
22,1435993429000,49.45145077,8.90014776
23,1435993448000,49.45162224,8.90025828
24,1435993460000,49.45168216,8.90048865
25,1435993471000,49.45168124,8.90049205
26,1435993482000,49.45151327,8.90049499
27,1435993492000,49.45136458,8.90034481
28,1435993527000,49.45122115,8.90020605
29,1435993533000,49.45119143,8.90016859
30,1435993543000,49.45110262,8.90018289
31,1435993568000,49.4509436,8.89990378
32,1435993580000,49.45074895,8.89984192
33,1435993597000,49.45070402,8.89949953
34,1435993609000,49.45061871,8.89936007
35,1435993628000,49.45046781,8.89943549
36,1435993639000,49.45045131,8.89932318
37,1435993650000,49.45041092,8.89927443
38,1435993661000,49.45039283,8.89923606
39,1435993670000,49.45038879,8.8992335
40,1435993689000,49.45040048,8.89908372
41,1435993708000,49.45009033,8.8984381
42,1435993729000,49.4498932,8.89802525
43,1435993740000,49.44995634,8.89789031
44,1435993753000,49.45030694,8.89770987
45,1435993762000,49.45042393,8.89768674
46,1435993773000,49.45044201,8.89774003
47,1435993783000,49.45051449,8.89770583
48,1435993792000,49.45049923,8.8977216
