id,attr_time,attr_lat,attr_lng
1,1435994345000,49.45038058,8.89784116
2,1435994355000,49.45035348,8.89781412
3,1435994368000,49.45033875,8.89780671
4,1435994375000,49.45033497,8.89780733
5,1435994385000,49.45032619,8.89780803
6,1435994395000,49.4503205,8.89780735
7,1435994407000,49.45030986,8.89781336
8,1435994416000,49.45030089,8.89781592
9,1435994427000,49.4502907,8.89781597
10,1435994437000,49.45027835,8.89782357
11,1435994447000,49.45027034,8.89783654
12,1435994458000,49.45026048,8.89783983
13,1435994468000,49.45025602,8.89783523
14,1435994479000,49.4502566,8.89784725
15,1435994490000,49.45025903,8.89786318
16,1435994499000,49.45025874,8.8978704
17,1435994508000,49.45025897,8.89787425
18,1435994520000,49.45026005,8.89788429
19,1435994530000,49.45025985,8.89788901
20,1435994540000,49.45025987,8.89789739
21,1435994550000,49.45025975,8.89790559
22,1435994560000,49.45025691,8.89790437
23,1435994572000,49.4502548,8.89790828
24,1435994580000,49.45025475,8.89791094
25,1435994592000,49.45025291,8.89791207
26,1435994602000,49.45024916,8.89791159
27,1435994617000,49.45024774,8.89791557
28,1435994626000,49.45024692,8.89792209
29,1435994637000,49.45024309,8.89792195
30,1435994646000,49.45023962,8.89791865
31,1435994658000,49.45023751,8.89791667
32,1435994668000,49.45023402,8.89791636
33,1435994681000,49.45023121,8.89791763
34,1435994692000,49.45022636,8.89791626
35,1435994701000,49.4502221,8.89791651
36,1435994711000,49.45021958,8.89791178
37,1435994722000,49.45021699,8.897904
38,1435994731000,49.45021489,8.89790014
39,1435994753000,49.45021242,8.89789395
40,1435994773000,49.45020972,8.8978938
41,1435994793000,49.45020388,8.89789527
42,1435994813000,49.45020135,8.89789071
43,1435994824000,49.45019896,8.89788791
44,1435994834000,49.45019781,8.89788928
45,1435994844000,49.45019742,8.89789036
46,1435994856000,49.45019423,8.89789074
47,1435994865000,49.45019097,8.89788721
48,1435994875000,49.45018831,8.89788386
49,1435994885000,49.45018563,8.89788223
50,1435994895000,49.45018408,8.89788375
51,1435994906000,49.45018427,8.89788633
52,1435994915000,49.45017871,8.89788446
53,1435994926000,49.45017531,8.8978829
54,1435994936000,49.45017012,8.89788007
55,1435994945000,49.45016829,8.89787954
56,1435994957000,49.45016422,8.89787986
57,1435994968000,49.450162,8.89787918
58,1435994977000,49.45015897,8.89787817
59,1435994988000,49.45015733,8.89787818
60,1435994997000,49.45015574,8.89787493
