id,attr_time,attr_lat,attr_lng
1,1438190590385,49.4473454,8.8963014
2,1438190610509,49.4473452,8.8962995
3,1438190630531,49.4473476,8.8962981
4,1438190651161,49.4473476,8.8962981
5,1438190671231,49.447347,8.8963117
6,1438190691307,49.4473454,8.8963101
7,1438190711841,49.4473476,8.8962981
8,1438190731674,49.4473457,8.8963062
9,1438190751609,49.4473452,8.8963105
10,1438190772209,49.447347,8.8963117
11,1438190792246,49.4473476,8.8962981
12,1438190813074,49.447346,8.8962964
13,1438190833150,49.4473476,8.8962947
14,1438190853127,49.4473454,8.8963014
15,1438190873525,49.447346,8.8962964
16,1438190894087,49.4473452,8.8963104
17,1438190914144,49.4473452,8.8963107
18,1438190934253,49.4473458,8.8962904
19,1438190954616,49.447347,8.8963133
20,1438190974922,49.4473464,8.8962982
21,1438190994875,49.4473457,8.8963062
22,1438191015564,49.4473453,8.8963128
23,1438191035604,49.4473453,8.8963107
24,1438191055706,49.4473464,8.8962982
25,1438191076368,49.447347,8.8963117
26,1438191096559,49.4473464,8.8962982
27,1438191116717,49.4473474,8.8962825
28,1438191137163,49.4473457,8.8963062
29,1438191157362,49.447347,8.8963133
30,1438191177384,49.4473452,8.8962995
31,1438191198200,49.4473476,8.8962916
